"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Harrastan myös"
"2023/01/22 4:54:38 PM GMT+2","50-60","naiset","10km lenkin","kolmesti viikossa","2500m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus","Laiskuus","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;paperikarttaa ja kompassia;suuntaa auringosta;olen oman tieni kulkija","Joo","Edellisenä vuonna","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski;Kaikki käy","pyörällä;toisen kyydillä;omalla autolla","","","17-19","17-19","17-19","","","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Melonta;Rogain;Hiihto;Lumikenkäily;Retkeily"
"2023/01/22 4:55:08 PM GMT+2","40-50","naiset","puolimaratonin","viidesti viikossa","2400m","Mäkeä (kävellen/sauvoilla);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;olen oman tieni kulkija","En","","Sippulanniemi;Keljonkangas;Myllyjärvi;Muurame","omalla autolla","17-19","17-19","17-19","17-19","15-17;17-19","10-12;12-15","10-12;12-15","1 h","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;rymypätkiä","viikkoa aiemmin","Ei ole vaikuttanut","Juoksublogit tai tarinat;Back yard ultra tyyppinen häppeninki","Maastopyöräily;Suunnistus;Hiihto;Retkeily"
"2023/01/22 5:06:57 PM GMT+2","40-50","naiset","puolimaratonin","neljästi viikossa","","Monipuolisesti eri lajeja","Kaksin","Tankkaan energiaa","nauttia luonnosta","","","mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Keskusta;Sippulanniemi","omalla autolla","","19-21","19-21","19-21","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;vain pieniä mäkiä","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Maastopyöräily;Gravel-pyöräily;Kippurasarvipyöräily;Suppailu;Suunnistus;Rogain;Seikkailu-urheilu;Hiihto;Retkeily;Retkiluistelu;Laskettelu"
"2023/01/22 5:17:43 PM GMT+2","70-","naiset","ultran","8 kertaa viikossa","2100m","Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Määrärahojen puute;Kaverin puute","järjestäjän merkkejä;merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Aivan samaa missä.","omalla autolla","","","17-19","","17-19","10-12","10-12","2 h","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Hiihto;Retkeily;Jumpat; combat"
"2023/01/22 5:31:04 PM GMT+2","","","ultran","seitsemästi viikossa","2400m","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute;ITRA pisteet tai UTMB-kivet;Kaverin puute;Kulkuyhteydet;Ruuhkavuodet;(UTMB) kisa-arvonnat","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;suuntaa auringosta","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopea","Halssila;Kanavuori;Keskusta;Vaajakoski","pyörällä;toisen kyydillä;omalla autolla","17-19","17-19","17-19","17-19","17-19","17-19","17-19","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit","Seikkailu-urheilu;Hiihto;Retkeily;Retkiluistelu"
"2023/01/22 6:03:30 PM GMT+2","30-40","miehet","puolimaratonin","neljästi viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Kaverin puute;Laiskuus","gps-reittiä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Sippulanniemi;Keljonkangas","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19","7-10;10-12;12-15;15-17;17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Maastopyöräily;Kiipeily tai boulderointi;Kuntosali"
"2023/01/22 6:29:00 PM GMT+2","30-40","miehet","ultran","kuudesti viikossa","","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla;UTMB kisa","(UTMB) kisa-arvonnat","mobiilikarttaa;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Vaajakoski","juoksen alkulämpät;pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","17-19","17-19","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit","Maastopyöräily;Gravel-pyöräily;Kippurasarvipyöräily;Suunnistus;Hiihto;Retkeily"
"2023/01/22 6:45:28 PM GMT+2","20-30","naiset","ultran","viidesti viikossa","","Mäkeä (kävellen/sauvoilla);Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä)","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Ajanpuute;Kaverin puute;Ruuhkavuodet","merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Keskusta;Sippulanniemi;Myllyjärvi;Mäyrämäki","pyörällä","","17-19","17-19","17-19","","","","1 h;1 h 30 min;2 h;2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Seikkailu-urheilu;Hiihto;Retkeily"
"2023/01/22 7:06:40 PM GMT+2","40-50","naiset","5km lenkin;10km lenkin;ultran","viidesti viikossa","","Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda;Tankkaan energiaa","tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","","merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","pyörällä;toisen kyydillä","","17-19;19-21","","17-19;19-21","17-19;19-21","10-12;12-15;15-17;17-19;19-21","10-12;12-15;15-17;17-19;19-21","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit","Maastopyöräily;Hiihto;Retkiluistelu;Laskettelu;Tanssi"
"2023/01/22 7:19:12 PM GMT+2","40-50","miehet","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;ultran","kuudesti viikossa","2700m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Ajanpuute;Laiskuus;Ruuhkavuodet","merkattuja reittejä;gps-reittiä;mobiilikarttaa;suuntaa auringosta","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Laajis;Touruvuori;Halssila;Kanavuori;Vaajakoski","juoksen alkulämpät;pyörällä","5-7","5-7","5-7","5-7","5-7","7-10","7-10","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;oksennukseen asti","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Maastopyöräily;Gravel-pyöräily;Kippurasarvipyöräily;Melonta;Suunnistus;Hiihto;Lumikenkäily;Retkeily;Retkiluistelu;Laskettelu"
"2023/01/22 7:40:42 PM GMT+2","50-60","naiset","10km lenkin","kolmesti viikossa","Ei tulosta","","Yksin","","nauttia luonnosta;voittaa itselleni asettamat haasteet","pidempi yhtenäinen juoksuvaellus","Ajanpuute","olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Kanavuori","omalla autolla","","","","17-19","17-19","12-15","12-15","1 h 30 min","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua","muutama päivä aiemmin riittää","En ole päässyt osallistumaan","Yhteislenkit","Maastopyöräily;Kippurasarvipyöräily;Hiihto"
"2023/01/22 7:50:08 PM GMT+2","20-30","naiset","ultran","kuudesti viikossa","1700m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","pidempi yhtenäinen juoksuvaellus","Kaverin puute;Laiskuus","merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori","pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19","","","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Facebook-läppä;Juoksublogit tai tarinat","Kippurasarvipyöräily;Melonta;Hiihto;Retkeily"
"2023/01/22 7:51:40 PM GMT+2","40-50","naiset","maratonin","12 kertaa viikossa","2900m","Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja;Hiihto on toiminut nyt 3 vuotta talven päälajina:)","Yksin","Muistan juoda;Tankkaan energiaa;Kaikkiin noihin muihin asioihin pitäisi panostaa, mutta aina on se kiire...","kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute;ITRA pisteet tai UTMB-kivet;Triathlon vie liikaa aikaa..","merkattuja reittejä","En","","Laajis;Jos Laajiksesta oppisi yhdysreittejä pitkin toisaalle..?","pyörällä","","15-17","","","","","7-10","2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;Ti kova vaihteleva teema kuukausittain, su pitkis (2-3h)","vain pieniä mäkiä","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset","Triathlon;Uinti;Hiihto;Laskettelu"
"2023/01/22 7:57:40 PM GMT+2","40-50","naiset","10km lenkin","seitsemästi viikossa","","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Kaverin puute;Kulkuyhteydet","merkattuja reittejä;mobiilikarttaa;olen oman tieni kulkija","En","","Halssila;Keskusta","juoksen alkulämpät;pyörällä;linkillä","","","","","","","","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;rymypätkiä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","","Maastopyöräily;Kippurasarvipyöräily;Melonta;Suunnistus;Seikkailu-urheilu;Hiihto;Retkeily"
"2023/01/22 8:43:06 PM GMT+2","30-40","naiset","ultran","10 kertaa viikossa","2600m","Mäkeä (kävellen/sauvoilla);Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","olen oman tieni kulkija","Joo","liikaa kävelyä","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Vaajakoski","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","7-10;17-19","7-10;17-19","1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit","Gravel-pyöräily;Melonta;Suppailu;Hiihto;Lumikenkäily;Retkeily;Retkiluistelu;Laskettelu"
"2023/01/22 9:54:48 PM GMT+2","50-60","miehet","maratonin","12 kertaa viikossa","2800m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute","mobiilikarttaa;suuntaa auringosta;olen oman tieni kulkija","En","","Halssila","juoksen alkulämpät;omalla autolla","12-15;15-17","12-15;15-17","12-15;15-17","12-15;15-17","12-15;15-17","10-12;12-15","10-12;12-15","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa","viikkoa aiemmin","Ei ole vaikuttanut","Facebook-läppä","Maastopyöräily;Kippurasarvipyöräily;Triathlon;Hiihto;Lumikenkäily;Retkeily;Retkiluistelu;Laskettelu"
"2023/01/22 10:31:14 PM GMT+2","30-40","naiset","10km lenkin","kolmesti viikossa","","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute;Ruuhkavuodet","merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Vaajakoski","omalla autolla","","17-19","17-19","","17-19","17-19","17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Facebook-läppä","Maastopyöräily;Kippurasarvipyöräily;Hiihto;Retkeily;Sali"
"2023/01/23 10:00:13 AM GMT+2","60-70","miehet","10km lenkin","viidesti viikossa","","Mäkeä (kävellen/sauvoilla);Peruskestävyyttä;Monipuolisesti eri lajeja","Kaksin","Käytän hierontapalveluita;Muistan juoda","tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","kisaaminen;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Laiskuus","paperikarttaa ja kompassia","Joo","liikaa kävelyä","Laajis;Sippulanniemi;Keljonkangas;Myllyjärvi;Muurame","juoksen alkulämpät;omalla autolla","","","17-19","","17-19","","15-17","1 h","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","En ole uskaltanut osallistua","En ole ollut mukana","Suunnistus;Hiihto"
"2023/01/23 11:39:14 AM GMT+2","40-50","miehet","10km lenkin","viidesti viikossa","2800m","Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","polkujuoksu pohjoisessa suomessa","Ajanpuute","olen oman tieni kulkija","En","","Halssila;Vaajakoski","juoksen alkulämpät","17-19","17-19","17-19","17-19","17-19","10-12;12-15","10-12;12-15","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;intervalleja","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Juoksublogit tai tarinat","Melonta;Suunnistus;Rogain;Hiihto;Retkeily;Retkiluistelu"
"2023/01/23 1:51:01 PM GMT+2","40-50","naiset","ultran","viidesti viikossa","2400m","Mäkeä (kävellen/sauvoilla);Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Uinti, jooga sekä hiihto","Yksin","Lämmittelen lihakset;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin ihmisiin ja treenikavereihin","pidempi yhtenäinen juoksuvaellus","Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kuokkala;Keskusta;Keljonkangas;Vaajakoski;Moneen paikkaan pääsen 😀","toisen kyydillä;omalla autolla","5-7","5-7","5-7","5-7","5-7","10-12","7-10","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;Ja maasto voi olla mitä vaan tuohon alle","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit;Facebook-läppä;Juoksublogit tai tarinat","Uinti;Hiihto;Laskettelu"
